,Company,Product,Total Company response to consumer Complaints
172,Resurgent Capital Services L.P.,"Credit reporting, credit repair services, or other personal consumer reports",5
173,Resurgent Capital Services L.P.,"Credit reporting, credit repair services, or other personal consumer reports",0
174,Resurgent Capital Services L.P.,"Credit reporting, credit repair services, or other personal consumer reports",106
175,Resurgent Capital Services L.P.,"Credit reporting, credit repair services, or other personal consumer reports",0
176,Resurgent Capital Services L.P.,"Credit reporting, credit repair services, or other personal consumer reports",0
177,Resurgent Capital Services L.P.,"Credit reporting, credit repair services, or other personal consumer reports",0
178,Resurgent Capital Services L.P.,"Credit reporting, credit repair services, or other personal consumer reports",0
179,Resurgent Capital Services L.P.,"Credit reporting, credit repair services, or other personal consumer reports",0
180,Resurgent Capital Services L.P.,Debt collection,7608
181,Resurgent Capital Services L.P.,Debt collection,14
182,Resurgent Capital Services L.P.,Debt collection,105
183,Resurgent Capital Services L.P.,Debt collection,677
184,Resurgent Capital Services L.P.,Debt collection,0
185,Resurgent Capital Services L.P.,Debt collection,52
186,Resurgent Capital Services L.P.,Debt collection,0
187,Resurgent Capital Services L.P.,Debt collection,0
188,Resurgent Capital Services L.P.,Debt collection,0
189,Resurgent Capital Services L.P.,"Money transfer, virtual currency, or money service",0
190,Resurgent Capital Services L.P.,"Money transfer, virtual currency, or money service",0
191,Resurgent Capital Services L.P.,"Money transfer, virtual currency, or money service",0
192,Resurgent Capital Services L.P.,"Money transfer, virtual currency, or money service",0
193,Resurgent Capital Services L.P.,"Money transfer, virtual currency, or money service",0
194,Resurgent Capital Services L.P.,"Money transfer, virtual currency, or money service",0
195,Resurgent Capital Services L.P.,"Money transfer, virtual currency, or money service",0
196,Resurgent Capital Services L.P.,"Money transfer, virtual currency, or money service",0
197,Resurgent Capital Services L.P.,"Money transfer, virtual currency, or money service",0
198,Resurgent Capital Services L.P.,Student loan,4
199,Resurgent Capital Services L.P.,Student loan,0
200,Resurgent Capital Services L.P.,Student loan,0
201,Resurgent Capital Services L.P.,Student loan,0
202,Resurgent Capital Services L.P.,Student loan,0
203,Resurgent Capital Services L.P.,Student loan,0
204,Resurgent Capital Services L.P.,Student loan,0
205,Resurgent Capital Services L.P.,Student loan,0
206,Resurgent Capital Services L.P.,Student loan,0
207,Resurgent Capital Services L.P.,Vehicle loan or lease,3
208,Resurgent Capital Services L.P.,Vehicle loan or lease,0
209,Resurgent Capital Services L.P.,Vehicle loan or lease,0
210,Resurgent Capital Services L.P.,Vehicle loan or lease,0
211,Resurgent Capital Services L.P.,Vehicle loan or lease,0
212,Resurgent Capital Services L.P.,Vehicle loan or lease,0
213,Resurgent Capital Services L.P.,Vehicle loan or lease,0
214,Resurgent Capital Services L.P.,Vehicle loan or lease,0
215,Resurgent Capital Services L.P.,Vehicle loan or lease,0
216,Resurgent Capital Services L.P.,Mortgage,130
217,Resurgent Capital Services L.P.,Mortgage,0
218,Resurgent Capital Services L.P.,Mortgage,7
219,Resurgent Capital Services L.P.,Mortgage,4
220,Resurgent Capital Services L.P.,Mortgage,0
221,Resurgent Capital Services L.P.,Mortgage,3
222,Resurgent Capital Services L.P.,Mortgage,0
223,Resurgent Capital Services L.P.,Mortgage,0
224,Resurgent Capital Services L.P.,Mortgage,0
225,Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",16
226,Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",0
227,Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",0
228,Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",2
229,Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",0
230,Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",0
231,Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",0
232,Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",0
233,Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",0
234,Resurgent Capital Services L.P.,Bank account or service,13
235,Resurgent Capital Services L.P.,Bank account or service,0
236,Resurgent Capital Services L.P.,Bank account or service,0
237,Resurgent Capital Services L.P.,Bank account or service,0
238,Resurgent Capital Services L.P.,Bank account or service,0
239,Resurgent Capital Services L.P.,Bank account or service,0
240,Resurgent Capital Services L.P.,Bank account or service,0
241,Resurgent Capital Services L.P.,Bank account or service,0
242,Resurgent Capital Services L.P.,Bank account or service,0
243,Resurgent Capital Services L.P.,Credit card,53
244,Resurgent Capital Services L.P.,Credit card,0
245,Resurgent Capital Services L.P.,Credit card,2
246,Resurgent Capital Services L.P.,Credit card,11
247,Resurgent Capital Services L.P.,Credit card,0
248,Resurgent Capital Services L.P.,Credit card,4
249,Resurgent Capital Services L.P.,Credit card,0
250,Resurgent Capital Services L.P.,Credit card,0
251,Resurgent Capital Services L.P.,Credit card,0
252,Resurgent Capital Services L.P.,Credit reporting,44
253,Resurgent Capital Services L.P.,Credit reporting,0
254,Resurgent Capital Services L.P.,Credit reporting,2
255,Resurgent Capital Services L.P.,Credit reporting,8
256,Resurgent Capital Services L.P.,Credit reporting,0
257,Resurgent Capital Services L.P.,Credit reporting,3
258,Resurgent Capital Services L.P.,Credit reporting,0
259,Resurgent Capital Services L.P.,Credit reporting,0
260,Resurgent Capital Services L.P.,Credit reporting,0
261,Resurgent Capital Services L.P.,Consumer Loan,25
262,Resurgent Capital Services L.P.,Consumer Loan,0
263,Resurgent Capital Services L.P.,Consumer Loan,0
264,Resurgent Capital Services L.P.,Consumer Loan,5
265,Resurgent Capital Services L.P.,Consumer Loan,0
266,Resurgent Capital Services L.P.,Consumer Loan,0
267,Resurgent Capital Services L.P.,Consumer Loan,0
268,Resurgent Capital Services L.P.,Consumer Loan,0
269,Resurgent Capital Services L.P.,Consumer Loan,0
270,Resurgent Capital Services L.P.,Prepaid card,0
271,Resurgent Capital Services L.P.,Prepaid card,0
272,Resurgent Capital Services L.P.,Prepaid card,0
273,Resurgent Capital Services L.P.,Prepaid card,0
274,Resurgent Capital Services L.P.,Prepaid card,0
275,Resurgent Capital Services L.P.,Prepaid card,0
276,Resurgent Capital Services L.P.,Prepaid card,0
277,Resurgent Capital Services L.P.,Prepaid card,0
278,Resurgent Capital Services L.P.,Prepaid card,0
279,Resurgent Capital Services L.P.,Money transfers,0
280,Resurgent Capital Services L.P.,Money transfers,0
281,Resurgent Capital Services L.P.,Money transfers,0
282,Resurgent Capital Services L.P.,Money transfers,0
283,Resurgent Capital Services L.P.,Money transfers,0
284,Resurgent Capital Services L.P.,Money transfers,0
285,Resurgent Capital Services L.P.,Money transfers,0
286,Resurgent Capital Services L.P.,Money transfers,0
287,Resurgent Capital Services L.P.,Money transfers,0
288,Resurgent Capital Services L.P.,Other financial service,0
