Company,Product,Total Complaints
BARCLAYS BANK DELAWARE,Money transfers,0
BARCLAYS BANK DELAWARE,Money transfers,1
BARCLAYS BANK DELAWARE,Money transfers,0
BARCLAYS BANK DELAWARE,Other financial service,0
BARCLAYS BANK DELAWARE,Other financial service,0
BARCLAYS BANK DELAWARE,Other financial service,0
BARCLAYS BANK DELAWARE,Other financial service,0
BARCLAYS BANK DELAWARE,Payday loan,0
BARCLAYS BANK DELAWARE,Payday loan,0
BARCLAYS BANK DELAWARE,Payday loan,0
BARCLAYS BANK DELAWARE,Payday loan,0
AES/PHEAA,Checking or savings account,0
AES/PHEAA,Checking or savings account,1
AES/PHEAA,Checking or savings account,0
AES/PHEAA,Checking or savings account,0
AES/PHEAA,Credit card or prepaid card,0
AES/PHEAA,Credit card or prepaid card,0
AES/PHEAA,Credit card or prepaid card,0
AES/PHEAA,Credit card or prepaid card,0
AES/PHEAA,"Credit reporting, credit repair services, or other personal consumer reports",0
AES/PHEAA,"Credit reporting, credit repair services, or other personal consumer reports",203
AES/PHEAA,"Credit reporting, credit repair services, or other personal consumer reports",7
AES/PHEAA,"Credit reporting, credit repair services, or other personal consumer reports",2
AES/PHEAA,Debt collection,0
AES/PHEAA,Debt collection,69
AES/PHEAA,Debt collection,20
AES/PHEAA,Debt collection,3
AES/PHEAA,"Money transfer, virtual currency, or money service",0
AES/PHEAA,"Money transfer, virtual currency, or money service",0
AES/PHEAA,"Money transfer, virtual currency, or money service",0
AES/PHEAA,"Money transfer, virtual currency, or money service",0
AES/PHEAA,Student loan,0
AES/PHEAA,Student loan,963
AES/PHEAA,Student loan,208
AES/PHEAA,Student loan,44
AES/PHEAA,Vehicle loan or lease,0
AES/PHEAA,Vehicle loan or lease,0
AES/PHEAA,Vehicle loan or lease,0
AES/PHEAA,Vehicle loan or lease,0
AES/PHEAA,Mortgage,0
AES/PHEAA,Mortgage,0
AES/PHEAA,Mortgage,0
AES/PHEAA,Mortgage,0
